id,name,valence,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo
6LOZws7T3jqZz78unPgFF9,Dead To Me,428,2018,432,675,199506,761,0,0.0,4,102,-4469,0,80,0.0466,119001
6jgkEbmQ2F2onEqsEhiliL,My Kind of Woman,0.46,2012,0.00294,501,190846,765,0,0.49,6,184,-7063,0,85,0.0281,91771
1KIJclzEbNhSVw8tiHPWwE,Young,594,2016,0.00392,498,189160,0.81,0,0.00717,7,0.0635,-4065,1,84,0.0263,79935
1MRnyqgA3P1T5Dw72lfZLm,You and I,445,2022,259,474,151695,919,0,945,10,341,-5702,0,2,0.0381,90225
7EAMXbLcL0qXmciM5SwMh2,Heart To Heart,643,2019,667,901,211140,136,0,354,8,109,-16127,0,87,102,150076
7s5VQqrjBtrBgZL4pEa46S,Romantic Lover,538,2020,701,658,86739,447,0,924,9,198,-9299,0,86,0.0869,184316
7zwn1eykZtZ5LODrf7c0tS,You Get Me So High,387,2018,186,551,153000,881,0,0.0791,7,152,-6099,0,85,0.0542,88036
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,479,2013,136,464,183956,417,0,22,0,0.0974,-9345,0,96,0.0256,67528
1F6IbA7di42uPc3cff8PXV,Flaming Hot Cheetos,142,2017,865,817,123884,551,0,0.000151,7,101,-9.33,0,77,133,109966
1FWsomP9StpCcXNWmJk8Cl,K.,327,2017,139,454,320030,0.4,0,846,3,137,-10261,1,88,0.0265,93719
0j3mqDTK4Z6lvrLzFCUUz6,Good Looking,257,2022,77,364,214800,554,0,0.000297,4,125,-9076,1,86,0.0301,150079
7svpAkwc6xaSxlbZ7V7JiS,i was all over her,0.0601,2013,788,529,161463,353,0,853,7,116,-12835,1,86,0.0292,104557
5vwXQUwkpmnkJrfv69L6Mp,In My Head,0.18,2013,169,576,354692,608,0,916,9,106,-13537,1,75,0.0321,150.9
4z9KVNX4hmk672SJfhtQNz,F Song,227,2018,407,236,224655,511,0,281,0,346,-10788,0,71,0.0442,80973
