id,name,valence,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,user
32pdmizVCumVDYAXTqHFRh,Dance In Room Song,0.759,2021,0.0293,0.583,171243,0.82,0,0.00119,11,0.608,-6.774,1,57,0.0622,90.611,user_2
2zAzuCsqsZkSkozxTXqtSn,Alive,0.72,2021,0.326,0.634,180295,0.837,0,0.835,5,0.545,-7.141,1,3,0.0284,149.623,user_2
78Sw5GDo6AlGwTwanjXbGh,Here With Me,0.288,2022,0.534,0.574,242485,0.469,0,9.21e-05,4,0.128,-8.209,1,15,0.0254,132.023,user_2
0JIMT9gzLIIz0esKLyjbKf,Telephones,0.183,2018,0.00283,0.526,212432,0.447,0,0.0301,2,0.109,-9.268,1,85,0.0274,74.995,user_2
2hIrHUgeI2cKYwM18MkGPK,Without You,0.297,2019,0.46,0.532,228080,0.529,0,0.206,7,0.161,-8.652,1,65,0.0275,124.934,user_2
6WlmEymaXKMRs3D2c4j6os,Inside Out,0.652,1998,0.84,0.553,141040,0.465,0,0.97,9,0.102,-9.664,1,81,0.0301,79.223,user_2
7IL8PSVwLOJxqYne6azxQv,Pretty Boy,0.569,2020,0.208,0.578,234093,0.386,0,0.0453,6,0.307,-11.464,1,79,0.0278,154.902,user_2
3hxIUxnT27p5WcmjGUXNwx,Shut up My Moms Calling,0.376,2020,0.325,0.485,164571,0.409,0,0.0,9,0.103,-10.711,0,91,0.101,138.419,user_2
3xKsf9qdS1CyvXSMEid6g8,Pink + White,0.549,2016,0.667,0.545,184516,0.545,0,5.48e-05,9,0.417,-7.362,1,92,0.107,159.94,user_2
1eUGmzzvahJjOSWgDHuRlv,Girl With The Tattoo Enter.lewd,0.127,2010,0.856,0.372,102813,0.239,0,0.000175,6,0.168,-11.314,0,85,0.0296,113.451,user_2
0rKtyWc8bvkriBthvHKY8d,SLOW DANCING IN THE DARK,0.284,2018,0.544,0.515,209274,0.479,1,0.00598,3,0.191,-7.458,1,74,0.0261,88.964,user_2
